voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,track,cluster
syn_00001,Reefer,12374.0,6,AUCKLAND,0.000329353,Track1,0
syn_00002,Container,36307.0,5,AUCKLAND,0.000129353,Track1,0
syn_00003,Container,50567.0,5,TIMARU,0.000136314,Track1,0
syn_00004,RoRo,15068.0,7,AUCKLAND,0.000319847,Track1,0
syn_00005,RoRo,12988.0,7,AUCKLAND,0.000231061,Track1,0
syn_00006,Reefer,12374.0,6,PORT CHALMERS,0.000283515,Track1,0
syn_00007,RoRo,22514.0,7,TAURANGA,0.000349769,Track1,0
syn_00008,RoRo,14906.0,7,NELSON,0.000278081,Track1,0
syn_00009,RoRo,14348.0,7,AUCKLAND,0.000276779,Track1,0
syn_00010,Container,51372.0,5,AUCKLAND,0.000193894,Track1,0
syn_00011,Container,51737.0,7,NEW PLYMOUTH,0.000172337,Track1,0
syn_00012,General Cargo,31288.0,6,AUCKLAND,0.000362726,Track1,0
syn_00013,RoRo,22815.0,6,AUCKLAND,0.000402652,Track1,0
syn_00014,Container,50567.0,7,AUCKLAND,0.000371395,Track1,0
syn_00015,Reefer,13055.0,5,AUCKLAND,0.000257792,Track1,0
syn_00016,Container,51731.0,7,AUCKLAND,0.000311455,Track1,0
syn_00017,Container,24475.0,6,NEW PLYMOUTH,0.000163914,Track1,0
syn_00018,Container,52190.0,5,GISBORNE,0.000264865,Track1,0
syn_00019,RoRo,18918.0,7,AUCKLAND,0.000278173,Track1,0
syn_00020,Container,61636.0,7,TIMARU,0.000257093,Track1,0
syn_00021,RoRo,15089.0,7,AUCKLAND,0.000379079,Track1,0
syn_00022,RoRo,9653.0,7,AUCKLAND,0.000277064,Track1,0
syn_00023,Container,50567.0,7,AUCKLAND,0.000359005,Track1,0
syn_00024,Reefer,12354.0,7,TAURANGA,0.000338652,Track1,0
syn_00025,Container,69107.0,5,AUCKLAND,0.000219379,Track1,0
syn_00026,Container,23252.0,7,AUCKLAND,0.000198023,Track1,0
syn_00027,RoRo,17713.0,5,AUCKLAND,0.000290316,Track1,0
syn_00028,Reefer,12354.0,5,TAURANGA,0.000305912,Track1,0
syn_00029,Tanker,49828.0,6,AUCKLAND,0.000314864,Track1,0
syn_00030,RoRo,22514.0,6,TAURANGA,0.000336019,Track1,0
syn_00031,RoRo,12988.0,7,TIMARU,0.000221921,Track1,0
syn_00032,Container,39383.0,7,AUCKLAND,0.000265609,Track1,0
syn_00033,RoRo,17262.0,7,AUCKLAND,0.000367166,Track1,0
syn_00034,RoRo,16669.0,5,NAPIER,0.000183691,Track1,0
syn_00035,RoRo,16837.0,7,AUCKLAND,0.000272284,Track1,0
