voyage_id,vessel_type,dwt,n_ports,nz_dest_port,cluster_k,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
0,Bulker,34327.0,6,AUCKLAND,4,0.000340389,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.16015312, 0.34794336, 0.5915133, 0.72232737, 0.75803693]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[2.11325e-05, 4.59119e-05, 7.80514e-05, 9.53126e-05, 0.0001000246]"
1,Container,30700.0,7,AUCKLAND,0,0.0003125268,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.27962834, 0.32426352, 0.38277008, 0.40276738, 0.50014235, 0.55880694]","[0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371, 0.00013371]","[3.68976e-05, 4.27873e-05, 4.44886e-05, 4.68129e-05, 6.68708e-05, 7.47098e-05]"
2,Tanker,5155.0,7,NEW PLYMOUTH,3,0.0001454018,"[0.999975, 0.999861, 0.999995, 1.0, 0.999982, 0.999987]","[0.01668079, 0.03987956, 0.09183312, 0.2006084, 0.43599671, 0.70117457]","[0.00010558, 0.00010558, 0.00014047, 0.00013117, 8.814e-05, 8.814e-05]","[1.7612e-06, 4.21e-06, 1.28999e-05, 2.63135e-05, 3.84265e-05, 6.17982e-05]"
3,Bulker,34327.0,5,AUCKLAND,3,0.0002338822,"[1.0, 1.0, 1.0, 1.0]","[0.26144131, 0.46945392, 0.60580052, 0.76400284]","[0.00011637, 0.00011063, 0.00011063, 0.00011063]","[3.04249e-05, 5.19357e-05, 6.70197e-05, 8.45216e-05]"
4,Container,8252.0,7,AUCKLAND,2,0.0001389609,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.12593538, 0.14642453, 0.16380791, 0.18778026, 0.2064615, 0.26621268]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[1.66174e-05, 1.9321e-05, 2.16148e-05, 2.18253e-05, 2.39966e-05, 3.55936e-05]"
5,Container,38975.0,7,AUCKLAND,0,0.0003010156,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.30237805, 0.33277203, 0.36653257, 0.39800277, 0.41635951, 0.55516144]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[3.98994e-05, 4.391e-05, 4.83647e-05, 4.62591e-05, 4.83927e-05, 7.42271e-05]"
6,Bulker,34443.0,5,NEW PLYMOUTH,4,0.0002541766,"[1.0, 1.0, 0.999975, 0.999861]","[0.32361525, 0.55115819, 0.79858501, 0.90866559]","[8.382e-05, 8.498e-05, 0.00010558, 0.00010558]","[2.71242e-05, 4.68351e-05, 8.43143e-05, 9.59256e-05]"
7,General Cargo,8378.0,5,AUCKLAND,2,0.0002126589,"[0.999862, 1.0, 1.0, 1.0]","[0.31200825, 0.40504072, 0.52783712, 0.63240082]","[0.00011601, 0.00010437, 0.00011567, 0.00011567]","[3.61902e-05, 4.2275e-05, 6.10574e-05, 7.31528e-05]"
8,Bulker,40020.0,7,TIMARU,4,0.0003263608,"[1.0, 1.0, 0.999993, 0.999794, 0.999973, 1.0]","[0.05131737, 0.13041851, 0.34876958, 0.58764936, 0.71814823, 0.83956965]","[8.967e-05, 9.156e-05, 0.00010558, 0.00010558, 0.00014047, 0.00013117]","[4.6014e-06, 1.19408e-05, 3.68236e-05, 6.20325e-05, 0.000100877, 0.0001101249]"
9,General Cargo,20202.0,6,AUCKLAND,2,0.0003893171,"[0.999659, 0.999862, 1.0, 1.0, 1.0]","[0.43951197, 0.56490611, 0.69765916, 0.82868889, 0.90087885]","[0.00011601, 0.00011601, 0.00010437, 0.00011567, 0.00011567]","[5.09692e-05, 6.55241e-05, 7.28163e-05, 9.58584e-05, 0.0001042089]"
