ports,transits_hours,dwells_hours,n_ports,vessel_type,dwt,cluster_k,nz_destination
"['SHANGHAI', 'SUZHOU', 'YOSU', 'KANDA, FUKUOKA', 'KANDA', 'AUCKLAND']","[0.11543081401416644, 39.93035437088324, 42.54542978283978, 27.253430338507986, 3.1898953839896875, 332.4229942341451]","[30.12339193356339, 37.14525653205973, 36.96719685821783, 38.087123730914634, 46.0085390627078, 76.8467590564015]",6,Bulker,34327.0,4,AUCKLAND
"['BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'BOTANY', 'AUCKLAND']","[0.14685871028300568, 100.2854299680919, 129.19828530907165, 4.615462508771459, 199.12325821468943, 79.09611010466236, 83.87076177343407]","[21.383461587023987, 35.87487290457349, 29.17852990087486, 16.725360253954904, 21.88723422542043, 16.137482174375865, 63.506439619849246]",7,Container,30700.0,0,AUCKLAND
"['BRISBANE', 'BOTANY', 'MELBOURNE', 'ADELAIDE', 'SUVA', 'LAUTOKA', 'NEW PLYMOUTH']","[3.4728249509961, 87.95094026466435, 65.04340982396874, 63.06476655144402, 176.6066542413446, 19.359833172153227, 183.07460934154585]","[29.77685468729192, 26.467132314585523, 31.78857687426511, 29.145125305944152, 29.32930397998435, 43.358078817331126, 48.160710200330136]",7,Tanker,5155.0,3,NEW PLYMOUTH
"['HEDLAND', 'SURABAYA', 'GRESIK, JAVA', 'SINGAPORE', 'AUCKLAND']","[0.18404208671222588, 90.67617108161816, 61.787334941839056, 206.56116198146478, 323.0157135550267]","[50.70133442340854, 54.49549434910038, 69.77680245568821, 63.157798417766486, 94.57744183725907]",5,Bulker,34327.0,3,AUCKLAND
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.3222788243514654, 68.4465347553139, 22.646685216162137, 57.981621586554354, 4.615462508771459, 199.12325821468943, 181.05255877318032]","[19.276957341871306, 30.77978536431782, 31.207480711670193, 26.105974473430024, 30.41795753787973, 28.220567710766005, 73.62659469572205]",7,Container,8252.0,2,AUCKLAND
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.33005971821261637, 59.8671100123457, 60.494349367304046, 42.87808019912026, 4.615462508771459, 282.84308509202526, 206.81056076285407]","[11.297551668745465, 19.588102157272832, 20.82720493474208, 22.204242056014987, 16.623703205702817, 30.457964833212763, 57.408198105815266]",7,Container,38975.0,0,AUCKLAND
"['SINGAPORE', 'NEW PRIOK', 'BRISBANE', 'BOTANY', 'NEW PLYMOUTH']","[0.41850230861649185, 38.70887527835377, 217.02222483130862, 86.44420218321389, 114.9291802104187]","[43.23505426354531, 43.207055168664155, 54.27190973259729, 59.944287754262355, 76.27575671633161]",5,Bulker,34443.0,4,NEW PLYMOUTH
"['SUVA', 'APIA', 'RAROTONGA', 'AITUTAKI', 'AUCKLAND']","[0.6386583208056393, 44.02477833557161, 65.04425257758403, 18.456469595115713, 111.222900600963]","[28.67386837142771, 34.8152572618798, 41.55754408518607, 14.889761695678617, 25.14905378574414]",5,General Cargo,8378.0,2,AUCKLAND
"['TAICHUNG', 'KAOHSIUNG', 'BRISBANE', 'KEMBLA', 'MELBOURNE', 'ADELAIDE', 'TIMARU']","[0.2117130369186926, 28.086540990551697, 249.47840904381025, 33.71425907248282, 46.11518442629619, 107.17414356388419, 209.83858165995392]","[30.17096312521951, 44.95542950724019, 49.138149253602215, 44.610834968825806, 51.168645451777536, 76.10603778596425, 75.24982112233694]",7,Bulker,40020.0,4,TIMARU
"[""NUKU'ALOFA"", 'SUVA', 'APIA', 'RAROTONGA', 'AITUTAKI', 'AUCKLAND']","[0.6828497015065895, 20.65085025800573, 44.02477833557161, 46.48558451942962, 18.456469595115713, 95.3225009801842]","[32.89335681868701, 31.313310476452287, 19.655041476786664, 35.26329712760103, 16.353260739982247, 13.590801781221048]",6,General Cargo,20202.0,2,AUCKLAND
