imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9975399,FEDERAL OHIO,Bulker,21043,Bulker,Small,False,412,2024/8/4,34763,21043,Bulk Carrier,,ok
9323637,Horizon,Bulker,19891,Bulker,Small,False,10245,2024/9/1,30803,19891,Bulk Carrier,,ok
9446403,ELIM INSPIRE,Bulker,31532,Bulker,Small,False,5562,2024/11/24,55818,31532,Bulk Carrier,,ok
9450777,ORIENT PROGRESS,Bulker,23456,Bulker,Small,False,10659,2024/6/6,34393,23456,Bulk Carrier,,ok
9615561,NAJWA,Bulker,33055,Bulker,Small,False,11810,2024/11/21,56970,33055,Bulk Carrier,,ok
9658795,INLACO HARMONY,Bulker,21168,Bulker,Small,False,9028,2024/6/6,33379,21168,Bulk Carrier,,ok
9643805,Chios Luck,Bulker,23462,Bulker,Small,False,9652,2024/9/18,36612,23462,Bulk Carrier,,ok
9610092,Common Faith,Bulker,32987,Bulker,Small,False,13436,2024/4/8,57002,32987,Bulk Carrier,,ok
9594389,HPC PIONEER,Bulker,23264,Bulker,Small,False,14348,2024/2/19,38215,23264,Bulk Carrier,,ok
9450650,MERRY M,Bulker,23456,Bulker,Small,False,11133,2024/4/26,34403,23456,Bulk Carrier,,ok
9474254,V ISALOS,Bulker,23432,Bulker,Small,False,11922,2024/12/2,34976,23432,Bulk Carrier,,ok
9864899,ASTRO DENEBOLA,Bulker,24667,Bulker,Small,True,447,2024/3/27,38131,24667,Bulk Carrier,,ok
9852224,Wonderful World,Bulker,23765,Bulker,Small,False,14384,2024/6/19,37367,23765,Bulk Carrier,,ok
9561813,LUCILIA C,Bulker,21072,Bulker,Small,False,6653,2024/1/8,35009,21072,Bulk Carrier,,ok
9606974,ATAYAL MARINER,Bulker,9991,Bulker,Small,False,4591,2024/2/21,16813,9991,Bulk Carrier,,ok
9427342,KARPATHOS DAWN,Bulker,33042,Bulker,Small,False,13226,2024/5/9,56700,33042,Bulk Carrier,,ok
9800398,Santa Carolina,Bulker,35035,Bulker,Medium,False,15229,2024/1/18,61195,35035,Bulk Carrier,,ok
9967134,OCEAN DILIGENCE,Bulker,35716,Bulker,Medium,False,17427,2024/12/18,63625,35716,Bulk Carrier,,ok
9629653,Gng Concord 1,Bulker,41073,Bulker,Medium,False,12752,2024/10/28,75397,41073,Bulk Carrier,,ok
9292618,Anastasia,Bulker,41059,Bulker,Medium,False,14386,2024/11/2,75331,41059,Bulk Carrier,,ok
9643544,Saita I,Bulker,43007,Bulker,Medium,False,21039,2024/10/19,81922,43007,Bulk Carrier,,ok
9875331,Draftzilla,Bulker,38222,Bulker,Medium,False,19437,2024/10/27,66509,38222,Bulk Carrier,,ok
9909077,DARYA HEERA,Bulker,34534,Bulker,Medium,True,16748,2024/5/27,61083,34534,Bulk Carrier,,ok
9881897,TAI STAMINA,Bulker,36267,Bulker,Medium,False,15011,2024/4/17,64458,36267,Bulk Carrier,,ok
9512343,Pescadores Sw,Bulker,42980,Bulker,Medium,False,19274,2024/10/1,82230,42980,Bulk Carrier,,ok
9575230,STAR FAIRFIELD,Bulker,35837,Bulker,Medium,False,16687,2024/11/20,63301,35837,Bulk Carrier,,ok
9990416,AFRICAN DRAGON,Bulker,36570,Bulker,Medium,False,17344,2024/9/25,66647,36570,Bulk Carrier,,ok
9969194,GALAXY EXPRESS,Bulker,36142,Bulker,Medium,False,17026,2024/10/26,63750,36142,Bulk Carrier,,ok
9470387,PACIFIC STAR,Bulker,41718,Bulker,Medium,False,33716,2024/11/9,74138,41718,Bulk Carrier,,ok
9731975,Pacific Wealth,Bulker,36449,Bulker,Medium,False,14883,2024/6/21,63522,36449,Bulk Carrier,,ok
9927304,SSI PRUDENT,Bulker,35846,Bulker,Medium,False,17506,2024/11/10,63870,35846,Bulk Carrier,,ok
9966829,BRISTOL,Bulker,36192,Bulker,Medium,False,13640,2024/12/10,64701,36192,Bulk Carrier,,ok
9710581,ALPHA DISCOVERY,Bulker,44200,Bulker,Large,False,21056,2024/4/14,82057,44200,Bulk Carrier,,ok
9950404,DARYA RASHMI,Bulker,44577,Bulker,Large,False,15517,2024/9/28,82210,44577,Bulk Carrier,,ok
9827384,Star Emerald,Bulker,44114,Bulker,Large,False,19979,2024/11/27,82063,44114,Bulk Carrier,,ok
9902275,VITA UNITY,Bulker,43672,Bulker,Large,False,21409,2024/11/2,82545,43672,Bulk Carrier,,ok
9944338,BASIC EXPLORER,Bulker,43672,Bulker,Large,False,21860,2024/10/18,82609,43672,Bulk Carrier,,ok
9454917,Knossos Wave,Bulker,47984,Bulker,Large,False,23957,2024/9/15,87332,47984,Bulk Carrier,,ok
9813096,Baru,Bulker,54043,Bulker,Large,False,489,2024/10/7,79995,54043,Bulk/Oil/Chemical Carrier,,ok
9985605,BASIC STAR,Bulker,43455,Bulker,Large,False,23662,2024/11/22,81947,43455,Bulk Carrier,,ok
9394753,Manousos P,Bulker,43158,Bulker,Large,False,21135,2024/6/1,82549,43158,Bulk Carrier,,ok
9843730,Sophocles Graecia,Bulker,44095,Bulker,Large,False,21965,2024/1/8,82039,44095,Bulk Carrier,,ok
9510321,Pella,Bulker,43073,Bulker,Large,False,19550,2024/12/6,82163,43073,Bulk Carrier,,ok
9677387,Valadon,Bulker,44243,Bulker,Large,False,22020,2024/10/17,81199,44243,Bulk Carrier,,ok
9586631,Lyric Star,Bulker,44203,Bulker,Large,False,20291,2024/10/24,81276,44203,Bulk Carrier,,ok
9838450,Lowlands Courage,Bulker,50595,Bulker,Large,False,28582,2024/1/3,95823,50595,Bulk Carrier,,ok
9847413,Bbg Guigang,Bulker,44196,Bulker,Large,False,20805,2024/11/10,81567,44196,Bulk Carrier,,ok
9936240,EMERALD PUTUO,Bulker,48686,Bulker,Large,False,24065,2024/10/29,85611,48686,Bulk Carrier,,ok
9365867,Nevzat Kalkavan,Container,21162,Container,Small,False,208,2024/10/9,26811,21162,Container Ship,,ok
9869667,Del Monte Harvester,Container,21423,Container,Small,False,100,2024/2/2,27774,21423,Container Ship,,ok
9961441,ANDROKLIS,Container,17785,Container,Small,False,738,2024/10/10,22750,17785,Container Ship,,ok
9383297,Seaboard Ranger,Container,9948,Container,Small,False,474,2024/2/28,13684,9948,Container Ship,,ok
9365879,Kaan Kalkavan,Container,21162,Container,Small,False,750,2024/12/29,26650,21162,Container Ship,,ok
9664275,CONTSHIP ART,Container,9932,Container,Small,False,185,2024/9/18,13063,9932,Container Ship,,ok
9395135,CARIBBEAN STAR,Container,15375,Container,Small,False,200,2024/5/15,18464,15375,Container Ship,,ok
9383285,Seaboard Ocean,Container,9948,Container,Small,False,360,2024/2/21,13670,9948,Container Ship,,ok
9756092,CMA CGM WHITE,Container,24905,Container,Small,True,2573,2024/9/23,26974,24905,Container Ship,,ok
9454242,Sonderborg,Container,12514,Container,Small,False,50,2024/8/27,14222,12514,Container Ship,,ok
9869693,Del Monte Pride,Container,21423,Container,Small,False,250,2024/7/13,27863,21423,Container Ship,,ok
9827334,Oleander,Container,8313,Container,Small,False,998,2024/12/26,6884,8313,Container Ship,,ok
9535096,HANSA DUBURG,Container,18296,Container,Small,False,100,2024/12/22,23432,18296,Container Ship,,ok
9690092,CMA CGM ORANGE,Container,24901,Container,Small,True,2002,2024/11/13,26947,24901,Container Ship,,ok
9756107,CMA CGM BLUE,Container,24905,Container,Small,True,631,2024/12/25,26871,24905,Container Ship,,ok
9344239,DIANA B,Container,8280,Container,Small,False,204,2024/5/30,11005,8280,Container Ship,,ok
9632480,Maersk Rubicon,Container,51032,Container,Medium,True,8694,2024/11/8,66347,51032,Container Ship,,ok
9395939,Sm Qingdao,Container,40741,Container,Medium,False,780,2024/9/23,52316,40741,Container Ship,,ok
9964390,SEABOARD VOYAGER,Container,45976,Container,Medium,False,296,2024/11/4,52540,45976,Container Ship,,ok
9629380,CMA CGM TOKYO,Container,70147,Container,Medium,False,300,2024/4/3,80578,70147,Container Ship,,ok
9969869,CAPE SOREL,Container,26914,Container,Medium,False,201,2024/12/30,35019,26914,Container Ship,,ok
9298636,INDEPENDENT PRIMERO,Container,35823,Container,Medium,False,1600,2024/10/15,49918,35823,Container Ship,,ok
9283198,MAERSK MONTE OLIVIA,Container,69132,Container,Medium,False,1800,2024/7/17,83557,69132,Container Ship,,ok
9426805,HT CAPRICORN,Container,54182,Container,Medium,False,3030,2024/6/9,63059,54182,Container Ship,,ok
9334375,Independent Horizon,Container,35824,Container,Medium,False,380,2024/9/24,42213,35824,Container Ship,,ok
9802499,CMA CGM ABU DHABI,Container,28433,Container,Medium,True,182,2024/3/3,35031,28433,Container Ship,,ok
9680853,Perla Del Caribe,Container,36912,Container,Medium,False,2636,2024/12/30,33127,36912,Container Ship,,ok
9680841,Isla Bella,Container,36751,Container,Medium,False,1208,2024/12/26,33106,36751,Container Ship,,ok
9362413,Spirit Of Melbourne,Container,41483,Container,Medium,True,100,2024/12/10,53176,41483,Container Ship,,ok
9721970,Taino,Container,37462,Container,Medium,False,4545,2024/12/30,26306,37462,Container Ship,,ok
9400174,FORT DESAIX,Container,42609,Container,Medium,False,1637,2024/7/21,52788,42609,Container Ship,,ok
9535187,HERMANN SCHULTE,Container,59307,Container,Medium,False,512,2024/3/23,71339,59307,Container Ship,,ok
9951549,CMA CGM ENDURANCE,Container,73133,Container,Large,False,2800,2024/11/11,85620,73133,Container Ship,,ok
9306158,CHENNAI EXPRESS,Container,73934,Container,Large,False,49,2024/9/10,81099,73934,Container Ship,,ok
9262716,ARGUS,Container,75484,Container,Large,False,749,2024/11/10,81171,75484,Container Ship,,ok
9484948,Express Athens,Container,113973,Container,Large,False,66,2024/5/21,122959,113973,Container Ship,,ok
9348649,Maersk Atlanta,Container,74642,Container,Large,False,226,2024/12/31,84705,74642,Container Ship,,ok
9945485,ZIM CANADA,Container,114643,Container,Large,False,5618,2024/10/30,132069,114643,Container Ship,,ok
9400083,Maipo,Container,75752,Container,Large,False,780,2024/8/6,81002,Type of ship,Year of build,,not_found
9685322,Seaspan Bravo,Container,113042,Container,Large,False,226,2024/7/29,119332,,,,not_found
9448798,Cosco Thailand,Container,91051,Container,Large,False,180,2024/9/16,108564,91051,Container Ship,,ok
9630420,XIAMEN EXPRESS,Container,113509,Container,Large,False,238,2024/4/28,119177,113509,Container Ship,,ok
9955296,HMM TURQUOISE,Container,126943,Container,Large,False,4160,2024/12/28,141798,Type of ship,Year of build,,not_found
9612870,Tolten,Container,88586,Container,Large,False,400,2024/12/18,98718,,,,not_found
9409209,CMA CGM Maupassant,Container,73779,Container,Large,False,3442,2024/12/13,85450,73779,Container Ship,,ok
9472165,Cosco Hope,Container,141823,Container,Large,False,4312,2024/12/26,140241,141823,Container Ship,,ok
9944508,HMM PEARL,Container,126995,Container,Large,False,18991,2024/8/14,141231,126995,Container Ship,,ok
9424912,ONE MAJESTY,Container,78410,Container,Large,False,2668,2024/5/12,79443,78410,Container Ship,,ok
9385893,Frisiana,General Cargo,5937,General Cargo,Small,False,1700,2024/6/21,8027,5937,General Cargo Ship,,ok
9616058,Balsa 91,General Cargo,5698,General Cargo,Small,False,1799,2024/12/25,7746,5698,General Cargo Ship,,ok
9258985,Onego Rio,General Cargo,7576,General Cargo,Small,False,161,2024/11/2,10300,7576,General Cargo Ship,,ok
9485784,Oslo Bulk 3,General Cargo,5629,General Cargo,Small,False,1052,2024/8/13,8029,5629,General Cargo Ship,,ok
9580273,Balsa 86,General Cargo,5715,General Cargo,Small,False,2237,2024/12/19,7720,Type of ship,Year of build,,not_found
9485796,Oslo Bulk 5,General Cargo,5629,General Cargo,Small,False,2180,2024/10/26,8043,,,,not_found
9374973,PUKA,General Cargo,8999,General Cargo,Small,False,750,2024/8/12,12016,8999,General Cargo Ship,,ok
9435765,Houtmangracht,General Cargo,9611,General Cargo,Small,False,2838,2024/8/29,12669,9611,General Cargo Ship,,ok
9485758,Oslo Bulk 1,General Cargo,5629,General Cargo,Small,False,1240,2024/10/24,8040,5629,General Cargo Ship,,ok
8204171,Tropic Lure,General Cargo,1827,General Cargo,Small,False,40,2024/12/19,2563,1827,General Cargo Ship,,ok
9366122,Sea Carrier,General Cargo,6668,General Cargo,Small,False,55,2024/3/31,9823,6668,General Cargo Ship,,ok
9594315,UAL OSPREY,General Cargo,6190,General Cargo,Small,False,260,2024/11/12,8690,6190,General Cargo Ship,,ok
9453793,BBC ALASKA,General Cargo,9627,General Cargo,Small,False,2409,2024/6/2,12696,9627,General Cargo Ship,,ok
9197911,Spiegelgracht,General Cargo,16641,General Cargo,Medium,False,500,2024/5/31,21402,16641,General Cargo Ship,,ok
9810769,ASTERIUS,General Cargo,21198,General Cargo,Medium,False,10234,2024/12/21,33358,21198,General Cargo Ship,,ok
9625607,DEVBULK BEGUM,General Cargo,19999,General Cargo,Medium,False,8053,2024/10/2,31018,19999,General Cargo Ship,,ok
9623219,Sun Rise,General Cargo,22499,General Cargo,Medium,False,7804,2024/10/5,24629,22499,Heavy Load Carrier,,ok
9426881,UBC Salaverry,General Cargo,21018,General Cargo,Medium,False,12395,2024/12/12,33305,21018,General Cargo Ship,,ok
9437335,Ocean Giant,General Cargo,15549,General Cargo,Medium,False,215,2024/9/19,19382,15549,General Cargo Ship,,ok
9317690,PROPEL PROSPERITY,General Cargo,22698,General Cargo,Medium,False,9719,2024/1/18,37504,22698,General Cargo Ship,,ok
9343625,BAM PROTEUS,General Cargo,20236,General Cargo,Medium,False,1876,2024/10/20,33782,20236,General Cargo Ship,,ok
9546473,Tiberborg,General Cargo,14695,General Cargo,Medium,False,150,2024/7/6,21301,14695,General Cargo Ship,,ok
9764013,STEEL MAGIC,General Cargo,22303,General Cargo,Medium,False,14657,2024/12/11,35737,22303,General Cargo Ship,,ok
9197947,Slotergracht,General Cargo,16641,General Cargo,Medium,False,300,2024/9/25,21402,16641,General Cargo Ship,,ok
9652519,UBC SALERNO,General Cargo,20992,General Cargo,Medium,False,12134,2024/11/13,32702,20992,General Cargo Ship,,ok
9744764,Tiziana,General Cargo,22457,General Cargo,Medium,False,12307,2024/4/10,35443,22457,General Cargo Ship,,ok
9803417,Weco Karoline,General Cargo,23713,General Cargo,Large,False,12171,2024/4/17,38905,23713,General Cargo Ship,,ok
9007544,Quetzal Arrow,General Cargo,29369,General Cargo,Large,False,704,2024/12/3,46908,29369,General Cargo Ship,,ok
9450155,Penghu Sw,General Cargo,22852,General Cargo,Large,False,11664,2024/8/28,37168,22852,General Cargo Ship,,ok
9687203,Global Splendour,General Cargo,31926,General Cargo,Large,False,1276,2024/5/23,55828,31926,General Cargo Ship,,ok
9852717,African Warbler,General Cargo,23194,General Cargo,Large,True,12284,2024/11/21,38209,23194,General Cargo Ship,,ok
9866639,OCEAN FLORA,General Cargo,23232,General Cargo,Large,True,12674,2024/8/19,37609,23232,General Cargo Ship,,ok
9416721,UBC Tilbury,General Cargo,24140,General Cargo,Large,False,11075,2024/5/22,37702,24140,General Cargo Ship,,ok
9310513,Star Java,General Cargo,32679,General Cargo,Large,True,577,2024/6/9,44692,32679,General Cargo Ship,,ok
9452919,Nikkei Sirius,General Cargo,29829,General Cargo,Large,False,1073,2024/8/16,51658,29829,General Cargo Ship,,ok
9877339,Blue Sapphire,General Cargo,23703,General Cargo,Large,False,14276,2024/11/16,38580,23703,General Cargo Ship,,ok
9659189,DEVBULK GULTEN,General Cargo,23749,General Cargo,Large,False,15106,2024/2/9,40614,23749,General Cargo Ship,,ok
9491680,TAN BINH 345,General Cargo,22863,General Cargo,Large,False,12942,2024/9/4,37218,22863,General Cargo Ship,,ok
9658953,Saga Fantasy,General Cargo,37441,General Cargo,Large,False,1545,2024/3/20,55973,37441,General Cargo Ship,,ok
9274379,GAS ROSEA,Tanker,5945,Tanker,Small,False,357,2024/7/4,7407,5945,LPG Tanker,,ok
