imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9721968,El Coqui,Container,37462,Container,,FALSE,2200,2024/12/26,26410,37462,Container Ship,,ok
9234434,Bermuda Islander,Container,2937,Container,,FALSE,643,2024/12/22,3725,2937,Container Ship,,ok
9400069,CMA CGM XIAMEN,Container,75752,Container,,FALSE,200,2024/12/19,83431,75752,Container Ship,,ok
9932490,ZIM MOUNT KILIMANJARO,Container,152204,Container,,FALSE,3582,2024/12/8,161069,152204,Container Ship,,ok
9246700,Independent Quest,Container,35881,Container,,FALSE,600,2024/12/5,41847,35824,Container Ship,,ok
9944493,HMM EMERALD,Container,126995,Container,,FALSE,550,2024/11/21,141231,126995,Container Ship,,ok
9560376,ONE SAN DIEGO,Container,72043,Container,,FALSE,771,2024/11/17,72912,72043,Container Ship,,ok
9597563,APL Santiago,Container,109699,Container,,FALSE,562,2024/11/4,115077,109699,Container Ship,,ok
9665669,Christa Schulte,Container,51872,Container,,FALSE,11736,2024/10/30,65099,51872,Container Ship,,ok
9690107,CMA CGM RED,Container,24901,Container,,TRUE,2390,2024/10/30,27025,24901,Container Ship,,ok
9819959,Tropic Lissette,Container,15215,Container,,FALSE,295,2024/10/15,20400,15215,Container Ship,,ok
9410284,As Svenja,Container,18123,Container,,FALSE,1111,2024/9/28,22314,18123,Container Ship,,ok
9623673,Rdo Fortune,Container,52464,Container,,FALSE,6400,2024/9/22,66966,52464,Container Ship,,ok
9951525,CMA CGM INNOVATION,Container,73133,Container,,FALSE,2900,2024/9/4,85558,73133,Container Ship,,ok
9961465,ASTRAIOS,Container,17785,Container,,FALSE,200,2024/7/28,22750,17785,Container Ship,,ok
9342176,Maersk Pittsburgh,Container,74642,Container,,FALSE,2150,2024/7/23,84688,74642,Container Ship,,ok
9969912,INTERASIA ACCELERATE,Container,72896,Container,,FALSE,3361,2024/6/2,82464,72896,Container Ship,,ok
9235579,Maersk Garonne,Container,50686,Container,,TRUE,80,2024/6/1,61636,50686,Container Ship,,ok
9679907,CMA CGM Mississippi,Container,102931,Container,,FALSE,700,2024/5/28,115657,102931,Container Ship,,ok
