voyage_id,cluster,vessel_type,DWT,n_ports,ports,port_territories,latitudes,longitudes,ecoprovinces,transits_hours,dwells_hours,total_span_days,delta_t_hours,nz_dest_port
syn_06328,3,General Cargo,9793.0,7,"['CAIRNS', 'MACKAY', 'BRISBANE', 'NEWCASTLE', 'BOTANY', 'MELBOURNE', 'AUCKLAND']","['Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-16.8017, -21.1059, -27.3765, -32.9182, -33.9682, -37.844, -36.8402]","[145.8833, 149.2318, 153.1665, 151.7701, 151.2149, 144.905, 174.7721]","['Northeast Australian Shelf', 'Northeast Australian Shelf', 'East Central Australian Shelf', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southeast Australian Shelf', 'Northern New Zealand']","[0.0, 40.08008537955746, 26.79319122344562, 55.176202803144754, 7.058861269391278, 57.49531505291892, 213.241819757803]","[16.842231839331298, 40.196844694055045, np.float64(71.0408704664967), np.float64(56.07349291720377), np.float64(24.6277210874928), np.float64(25.67671164262412), 0.0]",26.4293,617.4611,AUCKLAND
syn_06329,3,Bulker,35947.0,7,"['NEW PRIOK', 'KWINANA', 'FREMANTLE', 'ADELAIDE', 'MELBOURNE', 'KEMBLA', 'AUCKLAND']","['Indonesia', 'Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-6.0976, -32.0435, -32.051, -34.8169, -37.844, -34.4537, -36.8402]","[106.884, 115.6652, 115.7393, 138.2816, 144.905, 150.8864, 174.7721]","['Java Transitional', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southeast Australian Shelf', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 297.2541605395951, 37.743090844848965, 99.25276475350994, 44.33046504676002, 72.37504873720628, 150.74602940370406]","[119.22679689507467, 10.51183826679044, 50.47750531094562, np.float64(37.735773845387854), np.float64(20.288389811749216), np.float64(65.15084829340327), 0.0]",41.8789,885.8659,AUCKLAND
syn_06330,3,Container,5923.0,7,"['BRISBANE', 'LAE', 'MOTUKEA ISLAND', 'BRISBANE', 'NOUMEA', 'SUVA', 'TAURANGA']","['Australia', 'Papua New Guinea', 'Papua New Guinea', 'Australia', 'New Caledonia', 'Fiji', 'New Zealand']","[-27.3765, -6.8146, -9.4328, -27.3765, -22.2633, -18.1339, -37.6444]","[153.1665, 146.9681, 147.1035, 153.1665, 166.4317, 178.4235, 176.1819]","['East Central Australian Shelf', 'Eastern Coral Triangle', 'Eastern Coral Triangle', 'East Central Australian Shelf', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 80.27186488234175, 108.62835523921706, 124.2912838693448, 30.375147349293567, 62.52985858067389, 174.54505747336168]","[np.float64(23.078150071950866), np.float64(40.2306068120555), np.float64(10.383976953436358), np.float64(39.49091716360103), 8.235774884098536, np.float64(11.126257252490914), 0.0]",29.7161,690.1091,TAURANGA
syn_06331,3,General Cargo,40527.0,6,"['COWES', 'LONG ISLAND POINT', 'PRONY BAY', 'BOTANY', 'BRISBANE', 'NEW PLYMOUTH']","['Australia', 'Australia', 'New Caledonia', 'Australia', 'Australia', 'New Zealand']","[-38.4372, -38.2983, -22.3524, -33.9682, -27.3765, -39.0577]","[145.2507, 145.2386, 166.8904, 151.2149, 153.1665, 174.0346]","['Southeast Australian Shelf', 'Southeast Australian Shelf', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southern New Zealand']","[0.0, 40.88963638741842, 88.74548662762442, 59.21540180636009, 63.46622054902428, 78.67574073906792]","[17.147749160911975, 12.710851765869213, 92.4865911301845, np.float64(30.28492630902927), np.float64(76.54887651821458), 0.0]",23.3405,543.0237,NEW PLYMOUTH
syn_06332,3,General Cargo,19497.0,6,"['MOTUKEA ISLAND', 'LAE', 'KIMBE', 'RABAUL', 'HONIARA', 'TAURANGA']","['Papua New Guinea', 'Papua New Guinea', 'Papua New Guinea', 'Papua New Guinea', 'Solomon Islands', 'New Zealand']","[-9.4328, -6.8146, -5.5497, -4.2033, -9.4274, -37.6444]","[147.1035, 146.9681, 150.1486, 152.1667, 159.9603, 176.1819]","['Eastern Coral Triangle', 'Eastern Coral Triangle', 'Eastern Coral Triangle', 'Eastern Coral Triangle', 'Eastern Coral Triangle', 'Northern New Zealand']","[0.0, 60.09539147605932, 3.18390357283885, 18.854264243368927, 41.918228268237016, 90.55468676427272]","[np.float64(28.656700630410427), np.float64(44.52570869192768), np.float64(10.229779105043757), 109.77606674817197, np.float64(34.411681003975815), 0.0]",18.4253,413.5497,TAURANGA
syn_06333,3,Container,17842.0,6,"['RABAUL', 'MOTUKEA ISLAND', 'TOWNSVILLE', 'BRISBANE', 'MELBOURNE', 'TAURANGA']","['Papua New Guinea', 'Papua New Guinea', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-4.2033, -9.4328, -19.0942, -27.3765, -37.844, -37.6444]","[152.1667, 147.1035, 146.9491, 153.1665, 144.905, 176.1819]","['Eastern Coral Triangle', 'Eastern Coral Triangle', 'Northeast Australian Shelf', 'East Central Australian Shelf', 'Southeast Australian Shelf', 'Northern New Zealand']","[0.0, 38.13164339389938, 55.832098408791545, 59.22721239145557, 108.67128642808173, 176.50901318074818]","[20.864115670045745, np.float64(11.747647764479382), 79.02107148554882, np.float64(35.297875728113986), np.float64(24.020078029617363), 0.0]",25.3884,588.4579,TAURANGA
syn_06334,3,Container,13048.0,5,"['FREMANTLE', 'MELBOURNE', 'KEMBLA', 'BRISBANE', 'AUCKLAND']","['Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-32.051, -37.844, -34.4537, -27.3765, -36.8402]","[115.7393, 144.905, 150.8864, 153.1665, 174.7721]","['Southwest Australian Shelf', 'Southeast Australian Shelf', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 86.16354618799676, 47.247452599860516, 34.8466030532862, 121.09488119938993]","[7.8304865267705575, np.float64(23.182074511213948), np.float64(18.552595109700217), np.float64(13.461060784041807), 0.0]",14.6824,344.5482,AUCKLAND
syn_06335,3,Container,17842.0,5,"['KWINANA', 'GEELONG', 'LAE', 'LAUTOKA', 'NEW PLYMOUTH']","['Australia', 'Australia', 'Papua New Guinea', 'Fiji', 'New Zealand']","[-32.0435, -38.096, -6.8146, -17.6036, -39.0577]","[115.6652, 144.3819, 146.9681, 177.4387, 174.0346]","['Southwest Australian Shelf', 'Southeast Australian Shelf', 'Eastern Coral Triangle', 'Tropical Southwestern Pacific', 'Southern New Zealand']","[0.0, 140.7219730585889, 167.9435951706261, 186.8320798048245, 149.4711091163573]","[26.62958988450447, np.float64(11.926610389910163), np.float64(55.179299966326035), np.float64(54.73970156514856), 0.0]",33.0602,766.8144,NEW PLYMOUTH
syn_06336,3,Bulker,37155.0,7,"['TOWNSVILLE', 'BRISBANE', 'MELBOURNE', 'BELL BAY', 'BOTANY', 'BRISBANE', 'NEW PLYMOUTH']","['Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-19.0942, -27.3765, -37.844, -41.1352, -33.9682, -27.3765, -39.0577]","[146.9491, 153.1665, 144.905, 146.8752, 151.2149, 153.1665, 174.0346]","['Northeast Australian Shelf', 'East Central Australian Shelf', 'Southeast Australian Shelf', 'Southeast Australian Shelf', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southern New Zealand']","[0.0, 70.15741240745714, 138.80719576944645, 12.441039502037599, 65.29281620718413, 58.6511531341213, 170.59767416159815]","[106.50587238158, np.float64(29.34362267223926), np.float64(80.06406694530095), 72.90036354998881, np.float64(69.4891564940287), np.float64(57.26110995327832), 0.0]",38.813,825.0056,NEW PLYMOUTH
syn_06337,3,General Cargo,9793.0,7,"['ALBANY', 'ESPERANCE', 'THEVENARD', 'BUNDABERG', 'GLADSTONE', 'SOUTH TREES', 'GISBORNE']","['Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-35.0344, -33.8718, -32.1493, -24.7706, -23.8351, -23.8483, -38.6751]","[117.8934, 121.8997, 133.6409, 152.3816, 151.2712, 151.3268, 178.0221]","['Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'East Central Australian Shelf', 'Northeast Australian Shelf', 'Northeast Australian Shelf', 'Northern New Zealand']","[0.0, 19.70096664131913, 22.905267270889606, 298.66581883209335, 38.07399840159924, 24.264043187347532, 138.15572359857407]","[18.824197941494642, 34.583275649561315, 59.57734961942289, 44.45012075160795, 22.30328279419622, 15.42775617525774, 0.0]",30.7055,718.1076,GISBORNE
