cluster,vessel_type,port_i,port_j,n_obs
0,Bulker,SHANGHAI,SUZHOU,5
0,Bulker,INCHEON,GAMCHEON,3
0,Bulker,GAMCHEON,YOKKAICHI,3
0,Bulker,YOKKAICHI,YOKOHAMA,3
0,Bulker,INCHEON,SHANGHAI,3
0,Bulker,CHENGXI,YIZHENG,3
0,Bulker,GLADSTONE,SOUTH TREES,3
0,Bulker,KAOHSIUNG,INCHEON,2
0,Bulker,YOKOHAMA,LYTTELTON,2
0,Bulker,SUZHOU,YOSU,2
0,Bulker,SHANGHAI,CHENGXI,2
0,Bulker,YIZHENG,GLADSTONE,2
0,Bulker,SOUTH TREES,NEWCASTLE,2
0,Bulker,NEWCASTLE,BELL BAY,2
0,Bulker,SUZHOU,QINGDAO,2
0,Bulker,YOKOHAMA,GLADSTONE,1
0,Bulker,GLADSTONE,TAURANGA,1
0,Bulker,TIANJIN,DAESAN,1
0,Bulker,DAESAN,INCHEON,1
0,Bulker,FANGCHENGGANG,KAOHSIUNG,1
0,Bulker,SUZHOU,CHENGXI,1
0,Bulker,CHENGXI,BATANGAS,1
0,Bulker,BATANGAS,WELLINGTON,1
0,Bulker,YOSU,SAIKI,1
0,Bulker,SAIKI,TSUKUMI,1
0,Bulker,TSUKUMI,TAURANGA,1
0,Bulker,INCHEON,SUZHOU,1
0,Bulker,YOSU,"KANDA, FUKUOKA",1
0,Bulker,"KANDA, FUKUOKA",KANDA,1
0,Bulker,KANDA,AUCKLAND,1
0,Bulker,YIZHENG,NEWCASTLE,1
0,Bulker,NEWCASTLE,GLADSTONE,1
0,Bulker,SOUTH TREES,TAURANGA,1
0,Bulker,BELL BAY,GISBORNE,1
0,Bulker,PYEONGTAEK,DANGJIN,1
0,Bulker,DANGJIN,GWANGYANG,1
0,Bulker,GWANGYANG,CHENNAI,1
0,Bulker,CHENNAI,SINGAPORE,1
0,Bulker,SINGAPORE,BUNBURY,1
0,Bulker,BUNBURY,AUCKLAND,1
0,Bulker,QINGDAO,ONSAN,1
0,Bulker,ONSAN,NAPIER,1
0,Bulker,QINGDAO,TAURANGA,1
0,Bulker,SINGAPORE,KLANG,1
0,Bulker,KLANG,SINGAPORE,1
0,Bulker,SINGAPORE,DAMPIER,1
0,Bulker,DAMPIER,NAPIER,1
0,Bulker,ZHUHAI,GUANGZHOU,1
0,Bulker,GUANGZHOU,TOWNSVILLE,1
0,Bulker,TOWNSVILLE,HAY POINT,1
0,Bulker,HAY POINT,MACKAY,1
0,Bulker,MACKAY,AUCKLAND,1
0,Bulker,SUZHOU,YANGZHOU,1
0,Bulker,YANGZHOU,CHENGXI,1
0,Bulker,CHENGXI,DALIAN,1
0,Bulker,DALIAN,TAURANGA,1
0,Bulker,SINGAPORE,FUJAIRAH,1
0,Bulker,FUJAIRAH,AJMAN,1
0,Bulker,AJMAN,SHARJAH,1
0,Bulker,SHARJAH,AL JUBAYL,1
0,Bulker,AL JUBAYL,SINGAPORE,1
0,Bulker,SINGAPORE,TAURANGA,1
0,Bulker,BELL BAY,NAPIER,1
0,Bulker,CHENGXI,YANGZHOU,1
0,Bulker,YANGZHOU,YOSU,1
0,Bulker,YOSU,NEW PLYMOUTH,1
0,Bulker,OSAKA,HIMEJI,1
0,Bulker,HIMEJI,"KANDA, FUKUOKA",1
0,Bulker,"KANDA, FUKUOKA",MOJI,1
0,Bulker,MOJI,ONSAN,1
0,Bulker,ONSAN,LIANYUNGANG,1
0,Bulker,LIANYUNGANG,WELLINGTON,1
0,Container,BRISBANE,AUCKLAND,122
0,Container,GUANGZHOU,KAOHSIUNG,98
0,Container,HONG KONG,BRISBANE,94
0,Container,SHENZHEN,HONG KONG,89
0,Container,ZHOUSHAN,GUANGZHOU,87
0,Container,SHANGHAI,ZHOUSHAN,84
0,Container,SHANGHAI,SHENZHEN,82
0,Container,KAOHSIUNG,AUCKLAND,79
0,Container,OSAKA,BUSAN NEW,78
0,Container,KEELUNG,SHANGHAI,76
0,Container,BUSAN NEW,SHANGHAI,75
0,Container,TANJUNG PELEPAS,SINGAPORE,68
0,Container,BRISBANE,BOTANY,64
0,Container,HONG KONG,KEELUNG,59
0,Container,SINGAPORE,TANJUNG PELEPAS,55
0,Container,BOTANY,AUCKLAND,54
0,Container,NEW PRIOK,BRISBANE,45
0,Container,SRIRACHA,SINGAPORE,42
0,Container,NOUMEA,AUCKLAND,37
0,Container,BOTANY,TAURANGA,29
0,Container,SINGAPORE,NEW PRIOK,27
0,Container,HONG KONG,GUANGZHOU,25
0,Container,QINGDAO,SHANGHAI,24
0,Container,SINGAPORE,BOTANY,24
0,Container,SHANGHAI,NINGBO,21
0,Container,TANJUNG PELEPAS,NEW PRIOK,20
0,Container,KAOHSIUNG,BRISBANE,20
0,Container,SHANGHAI,HONG KONG,19
0,Container,HONIARA,NOUMEA,18
0,Container,SINGAPORE,BRISBANE,17
0,Container,BOTANY,MELBOURNE,17
0,Container,YOKOHAMA,OSAKA,16
0,Container,ZHOUSHAN,HONG KONG,15
0,Container,NINGBO,ZHOUSHAN,14
0,Container,MELBOURNE,AUCKLAND,13
0,Container,SUVA,AUCKLAND,13
0,Container,OSAKA,GAMCHEON,13
0,Container,GAMCHEON,GUANGZHOU,13
0,Container,LAE,RABAUL,13
0,Container,SINGAPORE,SRIRACHA,12
0,Container,TANJUNG PELEPAS,BRISBANE,12
0,Container,LAUTOKA,SUVA,12
0,Container,MOTUKEA ISLAND,NOUMEA,12
0,Container,MELBOURNE,TANJUNG PELEPAS,11
0,Container,NOUMEA,LAUTOKA,11
0,Container,GAMCHEON,LAE,11
0,Container,BRISBANE,TANJUNG PELEPAS,10
0,Container,BRISBANE,TAURANGA,10
0,Container,GUANGZHOU,HONG KONG,10
0,Container,SINGAPORE,NOUMEA,10
0,Container,LAE,MOTUKEA ISLAND,10
0,Container,GUANGZHOU,BRISBANE,8
0,Container,BUSAN NEW,LAE,8
0,Container,GUANGZHOU,LAE,8
0,Container,ZHOUSHAN,QINGDAO,8
0,Container,GUANGZHOU,AUCKLAND,8
0,Container,SHENZHEN,XIAMEN,7
0,Container,XIAMEN,SHANGHAI,7
0,Container,NINGBO,BOTANY,7
0,Container,KLANG,SINGAPORE,7
0,Container,GUANGZHOU,HONIARA,7
0,Container,RABAUL,HONIARA,7
0,Container,MELBOURNE,BOTANY,6
0,Container,TOKYO,OSAKA,6
0,Container,OSAKA,SHANGHAI,6
0,Container,NAPA NAPA,MOTUKEA ISLAND,6
0,Container,SUZHOU,GAMCHEON,6
0,Container,SHANGHAI,MAJISTAN,5
0,Container,HONG KONG,AUCKLAND,5
0,Container,HONG KONG,SHANGHAI,5
0,Container,SHANGHAI,GUANGZHOU,5
0,Container,RABAUL,NOUMEA,5
0,Container,LAEM CHABANG,TANJUNG PELEPAS,4
0,Container,SINGAPORE,FREMANTLE,4
0,Container,SRIRACHA,TANJUNG PELEPAS,4
0,Container,FREMANTLE,TANJUNG PELEPAS,4
0,Container,BOTANY,NELSON,4
0,Container,NINGBO,GUANGZHOU,4
0,Container,LAE,SRIRACHA,4
0,Container,LAE,NAPA NAPA,4
0,Container,QINGDAO,BUSAN NEW,3
0,Container,TANJUNG PELEPAS,BOTANY,3
0,Container,BUSAN NEW,ZHOUSHAN,3
0,Container,NINGBO,MAJISTAN,3
0,Container,HONG KONG,KAOHSIUNG,3
0,Container,BRISBANE,SINGAPORE,3
0,Container,SINGAPORE,KLANG,3
0,Container,BRISBANE,KLANG,3
0,Container,FREMANTLE,ADELAIDE,3
0,Container,ADELAIDE,MELBOURNE,3
0,Container,BOTANY,LYTTELTON,3
0,Container,ZHOUSHAN,SHANGHAI,3
0,Container,MELBOURNE,TAURANGA,3
