imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages
1014618,352003856,BIRD OF PARADISE,Bulk Carrier,Bulker,1
8706789,311001067,ICE GLACIER,Reefer,Reefer,2
8802090,311000992,BALTIC SUMMER,Reefer,Reefer,2
8819926,311062400,DITLEV REEFER,Cargo,General Cargo,1
8819938,311062300,IVAR REEFER,Reefer,Reefer,1
8909070,311001003,BALTIC SPRING,Reefer,Reefer,2
9007489,309193000,JORGEN REEFER,Cargo,General Cargo,1
9008732,309841000,BALTIC PEARL,Reefer,Reefer,1
9015199,308122000,NEDERLAND STREAM,Cargo - Fish carrier,General Cargo,1
9016674,311000972,BALTIC PERFORMER,Cargo - Fish carrier,General Cargo,1
9038488,311001000,BALTIC  PATRIOT,Reefer,Reefer,1
9070450,566441000,TURANDOT,Vehicle Carrier,RoRo,7
9074913,353518000,DAREEN,Livestock Carrier,General Cargo,2
9074925,538004024,SALEH,Livestock Carrier,General Cargo,1
9075709,257713000,HOEGH TRIDENT,Vehicle Carrier,RoRo,1
9075711,257714000,HOEGH TROOPER,Vehicle Carrier,RoRo,1
9077070,309759000,GREBE ARROW,Bulk Carrier,Bulker,4
9077082,309764000,KITE ARROW,Bulk Carrier,Bulker,5
9082934,564362000,DON JUAN,Vehicle Carrier,RoRo,8
9105035,309601000,MANDARIN ARROW,General Cargo,General Cargo,1
9120865,219324000,SALLY MAERSK,Container Ship,Container,6
9123166,371602000,MSC ALABAMA III,Container Ship,Container,9
9126704,577603000,ATLAS WIND,General Cargo,General Cargo,2
9128049,311000782,CROWN GARNET,Cargo - Fish carrier,General Cargo,2
9128051,311000791,CROWN JADE,Cargo - Fish carrier,General Cargo,1
9128063,311000801,CROWN OPAL,Reefer,Reefer,1
9139505,355738000,MSC REBECCA III,Container Ship,Container,6
9141704,304128000,PAPA MAU,General Cargo,General Cargo,9
9143099,311000724,BALTIC PURPLE,Reefer,Reefer,2
9143740,309785000,MV DISCOVERY BAY,Reefer,Reefer,4
9144407,309823000,PLOVER ARROW,Bulk Carrier,Bulker,5
9146467,219145000,SVENDBORG MAERSK,Container Ship,Container,2
9149859,351645000,ADVANCE,Container Ship,Container,1
9150341,431339000,PEGASUS ACE,Vehicle Carrier,RoRo,3
9150406,538009951,BIG LILLY,Container Ship,Container,2
9151814,309927000,PENGUIN ARROW,General Cargo,General Cargo,1
9151826,309996000,WEAVER ARROW,Bulk Carrier,Bulker,5
9156565,636010682,STOLT KIKYO,Tanker,Tanker,1
9159103,311000796,CROWN RUBY,Reefer,Reefer,2
9159115,311000855,CROWN SAPPHIRE,Cargo - Fish carrier,General Cargo,1
9160724,311001027,BALTIC LORD,Reefer,Reefer,2
9166792,219821000,SKAGEN MAERSK,Container Ship,Container,4
9167796,372645000,ORIENTAL IRIS,Reefer,Reefer,1
9169316,357247000,GRAND CHOICE,Vehicle Carrier,RoRo,2
9171280,258882000,HOEGH TRADER,Vehicle Carrier,RoRo,2
9172959,311001084,COOL  ROYAL,Reefer,Reefer,1
9176395,257712000,HOEGH TRANSPORTER,Vehicle Carrier,RoRo,1
9181132,311000795,WILD COSMOS,Cargo - Fish carrier,General Cargo,1
9181168,311000834,WILD LOTUS,Cargo - Fish carrier,General Cargo,1
9181479,357802000,GRAND QUEST,Vehicle Carrier,RoRo,3
9182356,351757000,COMET ACE,Vehicle Carrier,RoRo,2
9182966,257532000,STAR ISMENE,General Cargo,General Cargo,1
9184225,304586000,OLOMANA,Container Ship,Container,22
9184249,304984000,LILOA II,General Cargo,General Cargo,34
9188934,563121800,CAPITAINE MAGELLAN,General Cargo,General Cargo,10
9191307,257565000,TAMESIS,Cargo,General Cargo,1
9191319,257613000,TALISMAN,Ro-Ro Cargo,RoRo,2
9191321,257672000,TARAGO,Cargo,General Cargo,1
9191474,311000804,WILD PEONY,Cargo - Fish carrier,General Cargo,2
9191498,311000788,CROWN TOPAZ,Reefer,Reefer,2
9191876,257711000,HOEGH ASIA,Vehicle Carrier,RoRo,3
9192454,477642900,NICOLAI MAERSK,Container Ship,Container,1
9193276,565253000,GRASMERE MAERSK,Container Ship,Container,6
9198575,219840000,CLIFFORD MAERSK,Container Ship,Container,1
9198587,563084500,CORNELIUS MAERSK,Cargo - Hazard A,General Cargo,2
9206059,311000776,SOUTHAMPTON STAR,Reefer,Reefer,3
9206061,311000784,SOLENT STAR,Reefer,Reefer,5
9207120,357961000,BRAVERY ACE,Vehicle Carrier,RoRo,2
9207388,351340000,PALMELA,Vehicle Carrier,RoRo,6
9209271,352283000,FRONTIER ACE,Vehicle Carrier,RoRo,4
9209506,352062000,TRIUMPH ACE,Cargo,General Cargo,1
9209518,431221000,MERIDIAN ACE,Vehicle Carrier,RoRo,1
9210000,636016327,FUJITRANS WORLD,Vehicle Carrier,RoRo,4
9210050,636015031,MSC STAR R,Container Ship,Container,9
9213454,355745000,PRESTIGE ACE,Cargo,General Cargo,1
9214898,563084700,A.P. MOLLER,Cargo - Hazard A,General Cargo,3
9214903,219031418,CAROLINE MAERSK,Container Ship,Container,2
9218662,563726000,APL SCOTLAND,Container Ship,Container,4
9219795,563084300,CARSTEN MAERSK,Container Ship,Container,3
9219800,563084400,CHASTINE MAERSK,Container Ship,Container,4
9220316,255805580,JPO AQUARIUS,Container Ship,Container,1
9221085,235068051,COSCO HAMBURG,Container Ship,Container,1
9222986,636020770,GSL TEGEA,Container Ship,Container,1
9224324,538005687,SFT SAUDI,Container Ship,Container,8
9227613,356948000,TRANS FUTURE 3,Vehicle Carrier,RoRo,6
9229398,355234000,NEW CENTURY 1,Vehicle Carrier,RoRo,4
9229403,636017294,NEW CENTURY 2,Vehicle Carrier,RoRo,7
9230787,563007700,PFL MATAI,Container Ship,Container,19
9232852,563066400,OCEAN DROVER,Livestock Carrier,General Cargo,1
9232979,338566000,KAMOKUIKI,Container Ship,Container,1
9235402,636016943,MSC RADIANT III,Container Ship,Container,1
9235543,563076200,MAERSK GATESHEAD,Container Ship,Container,1
9235579,563077400,MAERSK GARONNE,Container Ship,Container,5
9236066,356347000,KEN GOH,Bulk Carrier,Bulker,5
9236585,636020440,MSC KANU F,Container Ship,Container,1
9238789,636016940,MSC MANU,Container Ship,Container,7
9240873,636019443,MSC RESILIENT III,Container Ship,Container,4
9241463,352898692,MSC CORCOVADO III,Container Ship,Container,2
9245744,220059000,CHARLOTTE MAERSK,Container Ship,Container,4
9246401,235068031,COSCO FELIXSTOWE,Container Ship,Container,13
9250701,538009418,BLUE EVERTON,Cargo,General Cargo,1
9251078,477473000,GOLD RIVER,Bulk Carrier,Bulker,5
9251614,220198000,OLGA MAERSK,Container Ship,Container,10
9251626,220207000,OLUF MAERSK,Container Ship,Container,7
9251638,220216000,OLIVIA MAERSK,Container Ship,Container,8
9252204,431312000,MORNING CREST,Vehicle Carrier,RoRo,1
9252228,431349000,SPLENDID ACE,Vehicle Carrier,RoRo,2
9253014,636021150,MSC CORDELIA III,Container Ship,Container,4
9254628,311000979,MAREEBA,Bulk Carrier,Bulker,2
9254654,257329000,MV STAR JAPAN,General Cargo,General Cargo,2
9259393,636021154,MSC SOTIRIA III,Container Ship,Container,5
9263332,372972000,MSC BANU III,Container Ship,Container,5
9263344,351285000,MSC ASTRID III,Container Ship,Container,1
9264207,565760000,CAPITAINE WALLIS,Container Ship,Container,11
9267077,477280800,TIMARU STAR,Bulk Carrier,Bulker,2
9267089,477440700,COOK STRAIT,Bulk Carrier,Bulker,4
9267675,351780000,MARTORELL,Vehicle Carrier,RoRo,1
9267687,353514000,PROGRESS ACE,Vehicle Carrier,RoRo,1
9267699,431695000,PROMINENT ACE,Vehicle Carrier,RoRo,1
9267742,636092313,KOGA REVOLUTION,General Cargo,General Cargo,1
9268083,538005972,AUCKLAND SPIRIT,General Cargo,General Cargo,1
9268928,477271600,OTAGO HARBOUR,Bulk Carrier,Bulker,1
9270452,413054000,XIN QING DAO,Container Ship,Container,1
9270907,355170000,ACHILLES BULKER,Bulk Carrier,Bulker,4
9272230,636023004,CHIPOLBROK SUN,General Cargo,General Cargo,1
9272773,538005973,ADMIRALTY  SPIRIT,General Cargo,General Cargo,1
9274551,477789000,SUN RUBY,Bulk Carrier,Bulker,2
9276731,477250500,CHERRY POINT,Bulk Carrier,Bulker,4
9278117,636013437,DERBY D,Container Ship,Container,1
9278143,357067000,MSC ELENI,Container Ship,Container,4
9282962,538005938,TIANJIN BRIDGE,Container Ship,Container,3
9283966,304726000,BBC WISCONSIN,General Cargo,General Cargo,1
9285483,257408000,HOEGH TOKYO,Vehicle Carrier,RoRo,3
9286944,477905000,KAITI HILL,Bulk Carrier,Bulker,1
9290098,229955000,CMA CGM SEATTLE,Container Ship,Container,11
9290426,352001168,MSC SANTA MARIA,Container Ship,Container,2
9290452,563102800,SHINA,Container Ship,Container,1
9293521,431082000,MIRACULOUS ACE,Vehicle Carrier,RoRo,1
9293571,431205000,EMINENT ACE,Vehicle Carrier,RoRo,1
9293650,431554000,LIBERTY ACE,Vehicle Carrier,RoRo,3
9293894,431585000,FIRMAMENT ACE,Vehicle Carrier,RoRo,1
9294159,538007938,CAPTAIN THANASIS I,Container Ship,Container,5
9294537,636092863,AS PENELOPE,Container Ship,Container,1
9294824,636015181,MSC DURBAN IV,Container Ship,Container,7
9295830,257560000,HOEGH NEW YORK,Vehicle Carrier,RoRo,2
9295842,311019100,HOEGH BERLIN,Vehicle Carrier,RoRo,3
9297527,441548000,ANTWERP BRIDGE,Container Ship,Container,2
9297840,636090862,JPO LIBRA,Container Ship,Container,1
9300178,477133800,HAINAN ISLAND,Bulk Carrier,Bulker,1
9300219,538009419,BLUE ALEXANDRA,Bulk Carrier,Bulker,2
9301847,477690600,SEASPAN RIO DE JANEI,Container Ship,Container,3
9303041,564415000,THOR MAGNHILD,Bulk Carrier,Bulker,1
9303156,371820000,DREAM ANGEL,Ro-Ro Cargo,RoRo,12
9303390,636022083,ST THERESA,Bulk Carrier,Bulker,1
9304502,355615000,POSITIVE STAR,Vehicle Carrier,RoRo,2
9304514,352824000,POSITIVE PIONEER,Vehicle Carrier,RoRo,1
9307267,370437000,MSC CORINNA,Container Ship,Container,11
9310006,352573000,KEN REI,Bulk Carrier,Bulker,2
9310513,258734000,STAR JAVA,Container Ship,Container,1
9310616,477013600,UNI AUC ONE,Bulk Carrier,Bulker,1
9310745,356928000,ND KATHRYN DN,Bulk Carrier,Bulker,1
9311139,372828000,GLORIOUS PEONY,Wood-Chip Carrier,Bulker,1
9311426,477125800,CORIO BAY,Bulk Carrier,Bulker,1
9312482,258758000,HOEGH SHANGHAI,Vehicle Carrier,RoRo,2
9314765,563206600,STOLT RINDO,Tanker,Tanker,1
9314961,636090967,MONACO,Container Ship,Container,1
9315836,636021031,MSC VAIGA III,Container Ship,Container,7
9315886,636021991,MSC NIMISHA III,Container Ship,Container,4
9316373,636018603,MSC TANIA,Container Ship,Container,8
9317250,477938600,THERESA MICRONESIA,Tanker - Hazard D,Tanker,1
9317482,477700500,ASTORIA BAY,Bulk Carrier,Bulker,1
9318319,477849400,MAERSK MAKUTU,Container Ship,Container,4
9318474,258720000,HOEGH BANGKOK,Vehicle Carrier,RoRo,1
9318503,309955000,ISTRA ACE,Vehicle Carrier,RoRo,4
9319765,249757000,TORTUGAS,Vehicle Carrier,RoRo,1
9321885,371008000,VICTOIRE,Tanker,Tanker,2
9321897,255806458,MSC NADIA IV,Container Ship,Container,2
9322463,229705000,CMA CGM MARLIN,Container Ship,Container,2
9324978,210722000,CONTSHIP ONO,Container Ship,Container,1
9325104,477250400,TAMPA BAY,Bulk Carrier,Bulker,2
9325180,636015994,CSAV RIO NEVADO,Vehicle Carrier,RoRo,5
9325221,372399000,GRAND RUBY,Cargo,General Cargo,1
