imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date
9975399.0,FEDERAL OHIO,Bulker,21043.0,Bulker,Small,False,412,2024-08-04
9323637.0,Horizon,Bulker,19891.0,Bulker,Small,False,10245,2024-09-01
9446403.0,ELIM INSPIRE,Bulker,31532.0,Bulker,Small,False,5562,2024-11-24
9450777.0,ORIENT PROGRESS,Bulker,23456.0,Bulker,Small,False,10659,2024-06-06
9615561.0,NAJWA,Bulker,33055.0,Bulker,Small,False,11810,2024-11-21
9658795.0,INLACO HARMONY,Bulker,21168.0,Bulker,Small,False,9028,2024-06-06
9643805.0,Chios Luck,Bulker,23462.0,Bulker,Small,False,9652,2024-09-18
9610092.0,Common Faith,Bulker,32987.0,Bulker,Small,False,13436,2024-04-08
9594389.0,HPC PIONEER,Bulker,23264.0,Bulker,Small,False,14348,2024-02-19
9450650.0,MERRY M,Bulker,23456.0,Bulker,Small,False,11133,2024-04-26
9474254.0,V ISALOS,Bulker,23432.0,Bulker,Small,False,11922,2024-12-02
9864899.0,ASTRO DENEBOLA,Bulker,24667.0,Bulker,Small,True,447,2024-03-27
9852224.0,Wonderful World,Bulker,23765.0,Bulker,Small,False,14384,2024-06-19
9561813.0,LUCILIA C,Bulker,21072.0,Bulker,Small,False,6653,2024-01-08
9606974.0,ATAYAL MARINER,Bulker,9991.0,Bulker,Small,False,4591,2024-02-21
9427342.0,KARPATHOS DAWN,Bulker,33042.0,Bulker,Small,False,13226,2024-05-09
9800398.0,Santa Carolina,Bulker,35035.0,Bulker,Medium,False,15229,2024-01-18
9967134.0,OCEAN DILIGENCE,Bulker,35716.0,Bulker,Medium,False,17427,2024-12-18
9629653.0,Gng Concord 1,Bulker,41073.0,Bulker,Medium,False,12752,2024-10-28
9292618.0,Anastasia,Bulker,41059.0,Bulker,Medium,False,14386,2024-11-02
9643544.0,Saita I,Bulker,43007.0,Bulker,Medium,False,21039,2024-10-19
9875331.0,Draftzilla,Bulker,38222.0,Bulker,Medium,False,19437,2024-10-27
9909077.0,DARYA HEERA,Bulker,34534.0,Bulker,Medium,True,16748,2024-05-27
9881897.0,TAI STAMINA,Bulker,36267.0,Bulker,Medium,False,15011,2024-04-17
9512343.0,Pescadores Sw,Bulker,42980.0,Bulker,Medium,False,19274,2024-10-01
9575230.0,STAR FAIRFIELD,Bulker,35837.0,Bulker,Medium,False,16687,2024-11-20
9990416.0,AFRICAN DRAGON,Bulker,36570.0,Bulker,Medium,False,17344,2024-09-25
9969194.0,GALAXY EXPRESS,Bulker,36142.0,Bulker,Medium,False,17026,2024-10-26
