imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages,DWT,Gross_Tonnage,Ship_Type,Flag,Status
1014618,352003856,BIRD OF PARADISE,Bulk Carrier,Bulker,1,40259,24595,Bulk Carrier,,ok
8706789,311001067,ICE GLACIER,Reefer,Reefer,2,14933,12348,Refrigerated Cargo Ship,,ok
8802090,311000992,BALTIC SUMMER,Reefer,Reefer,2,12350,10842,Refrigerated Cargo Ship,,ok
8819926,311062400,DITLEV REEFER,Cargo,General Cargo,1,16950,14406,Refrigerated Cargo Ship,,ok
8819938,311062300,IVAR REEFER,Reefer,Reefer,1,16950,14406,Refrigerated Cargo Ship,,ok
8909070,311001003,BALTIC SPRING,Reefer,Reefer,2,12942,10842,Refrigerated Cargo Ship,,ok
9007489,309193000,JORGEN REEFER,Cargo,General Cargo,1,16950,14406,Refrigerated Cargo Ship,,ok
9008732,309841000,BALTIC PEARL,Reefer,Reefer,1,10713,10412,Refrigerated Cargo Ship,,ok
9015199,308122000,NEDERLAND STREAM,Cargo - Fish carrier,General Cargo,1,13958,13049,Refrigerated Cargo Ship,,ok
9016674,311000972,BALTIC PERFORMER,Cargo - Fish carrier,General Cargo,1,10603,10381,Refrigerated Cargo Ship,,ok
9038488,311001000,BALTIC  PATRIOT,Reefer,Reefer,1,10621,10402,Refrigerated Cargo Ship,,ok
9070450,566441000,TURANDOT,Vehicle Carrier,RoRo,7,22815,55598,Vehicles Carrier,,ok
9074913,353518000,DAREEN,Livestock Carrier,General Cargo,2,7285,12959,Livestock Carrier,,ok
9074925,538004024,SALEH,Livestock Carrier,General Cargo,1,7285,12665,Livestock Carrier,,ok
9075709,257713000,HOEGH TRIDENT,Vehicle Carrier,RoRo,1,21423,56164,Vehicles Carrier,,ok
9075711,257714000,HOEGH TROOPER,Vehicle Carrier,RoRo,1,21414,56164,Vehicles Carrier,,ok
9077070,309759000,GREBE ARROW,Bulk Carrier,Bulker,4,55777,36008,General Cargo Ship,,ok
9077082,309764000,KITE ARROW,Bulk Carrier,Bulker,5,55531,36008,General Cargo Ship,,ok
9082934,564362000,DON JUAN,Vehicle Carrier,RoRo,8,22514,55598,Vehicles Carrier,,ok
9105035,309601000,MANDARIN ARROW,General Cargo,General Cargo,1,55770,35998,General Cargo Ship,,ok
9120865,219324000,SALLY MAERSK,Container Ship,Container,6,110387,92198,Container Ship,,ok
9123166,371602000,MSC ALABAMA III,Container Ship,Container,9,52180,37518,Container Ship,,ok
9126704,577603000,ATLAS WIND,General Cargo,General Cargo,2,5351,4150,General Cargo Ship,,ok
9128049,311000782,CROWN GARNET,Cargo - Fish carrier,General Cargo,2,10334,10519,Refrigerated Cargo Ship,,ok
9128051,311000791,CROWN JADE,Cargo - Fish carrier,General Cargo,1,10342,10519,Refrigerated Cargo Ship,,ok
9128063,311000801,CROWN OPAL,Reefer,Reefer,1,10316,10519,Refrigerated Cargo Ship,,ok
9139505,355738000,MSC REBECCA III,Container Ship,Container,6,52532,37968,Container Ship,,ok
9141704,304128000,PAPA MAU,General Cargo,General Cargo,9,5642,5025,General Cargo Ship,,ok
9143099,311000724,BALTIC PURPLE,Reefer,Reefer,2,10432,11438,Refrigerated Cargo Ship,,ok
9143740,309785000,MV DISCOVERY BAY,Reefer,Reefer,4,10100,8924,Refrigerated Cargo Ship,,ok
9144407,309823000,PLOVER ARROW,Bulk Carrier,Bulker,5,55458,36008,General Cargo Ship,,ok
9146467,219145000,SVENDBORG MAERSK,Container Ship,Container,2,110387,92198,Container Ship,,ok
9149859,351645000,ADVANCE,Container Ship,Container,1,24830,21611,Container Ship,,ok
9150341,431339000,PEGASUS ACE,Vehicle Carrier,RoRo,3,14348,36893,Vehicles Carrier,,ok
9150406,538009951,BIG LILLY,Container Ship,Container,2,23075,16803,Container Ship,,ok
9151814,309927000,PENGUIN ARROW,General Cargo,General Cargo,1,51800,36008,General Cargo Ship,,ok
9151826,309996000,WEAVER ARROW,Bulk Carrier,Bulker,5,55402,36008,General Cargo Ship,,ok
9156565,636010682,STOLT KIKYO,Tanker,Tanker,1,11545,6426,Chemical/Oil Products Tanker,,ok
9159103,311000796,CROWN RUBY,Reefer,Reefer,2,10338,10519,Refrigerated Cargo Ship,,ok
9159115,311000855,CROWN SAPPHIRE,Cargo - Fish carrier,General Cargo,1,10334,10519,Refrigerated Cargo Ship,,ok
9160724,311001027,BALTIC LORD,Reefer,Reefer,2,12912,11443,Refrigerated Cargo Ship,,ok
9166792,219821000,SKAGEN MAERSK,Container Ship,Container,4,110387,92198,Container Ship,,ok
9167796,372645000,ORIENTAL IRIS,Reefer,Reefer,1,10936,9305,Refrigerated Cargo Ship,,ok
9169316,357247000,GRAND CHOICE,Vehicle Carrier,RoRo,2,16669,50309,Vehicles Carrier,,ok
9171280,258882000,HOEGH TRADER,Vehicle Carrier,RoRo,2,27100,68060,Vehicles Carrier,,ok
9172959,311001084,COOL  ROYAL,Reefer,Reefer,1,12906,11382,Refrigerated Cargo Ship,,ok
9176395,257712000,HOEGH TRANSPORTER,Vehicle Carrier,RoRo,1,16747,57757,Vehicles Carrier,,ok
9181132,311000795,WILD COSMOS,Cargo - Fish carrier,General Cargo,1,10097,9859,Refrigerated Cargo Ship,,ok
9181168,311000834,WILD LOTUS,Cargo - Fish carrier,General Cargo,1,10139,9860,Refrigerated Cargo Ship,,ok
9181479,357802000,GRAND QUEST,Vehicle Carrier,RoRo,3,16702,50309,Vehicles Carrier,,ok
9182356,351757000,COMET ACE,Vehicle Carrier,RoRo,2,14283,36615,Vehicles Carrier,,ok
9182966,257532000,STAR ISMENE,General Cargo,General Cargo,1,46428,32628,General Cargo Ship,,ok
9184225,304586000,OLOMANA,Container Ship,Container,22,8252,6264,General Cargo Ship,,ok
9184249,304984000,LILOA II,General Cargo,General Cargo,34,8378,6264,General Cargo Ship,,ok
9188934,563121800,CAPITAINE MAGELLAN,General Cargo,General Cargo,10,9793,7775,General Cargo Ship,,ok
9191307,257565000,TAMESIS,Cargo,General Cargo,1,39516,67140,Vehicles Carrier,,ok
9191319,257613000,TALISMAN,Ro-Ro Cargo,RoRo,2,38500,67140,Vehicles Carrier,,ok
9191321,257672000,TARAGO,Cargo,General Cargo,1,39516,67140,Vehicles Carrier,,ok
9191474,311000804,WILD PEONY,Cargo - Fish carrier,General Cargo,2,10110,9859,Refrigerated Cargo Ship,,ok
9191498,311000788,CROWN TOPAZ,Reefer,Reefer,2,10318,10527,Refrigerated Cargo Ship,,ok
9191876,257711000,HOEGH ASIA,Vehicle Carrier,RoRo,3,27564,68060,Vehicles Carrier,,ok
9192454,477642900,NICOLAI MAERSK,Container Ship,Container,1,30420,27733,Container Ship,,ok
9193276,565253000,GRASMERE MAERSK,Container Ship,Container,6,62007,50698,Container Ship,,ok
9198575,219840000,CLIFFORD MAERSK,Container Ship,Container,1,110387,92198,Container Ship,,ok
9198587,563084500,CORNELIUS MAERSK,Cargo - Hazard A,General Cargo,2,110387,93129,Container Ship,,ok
9206059,311000776,SOUTHAMPTON STAR,Reefer,Reefer,3,9709,10804,Refrigerated Cargo Ship,,ok
9206061,311000784,SOLENT STAR,Reefer,Reefer,5,9709,10804,Refrigerated Cargo Ship,,ok
