nz_dest_port,n,mean,median,std,p90,p95
AUCKLAND,1088,0.0003094483706801471,0.00031731085,7.94462742674036e-05,0.00040569550000000003,0.00041983810999999995
GISBORNE,72,0.00029834253472222223,0.0002951299,5.7757764916550736e-05,0.00037574467,0.000385119365
TAURANGA,764,0.0002738266096858639,0.0002696619,6.717491497219934e-05,0.0003671306300000001,0.00042230300999999997
WELLINGTON,70,0.0002510076757142857,0.0002428172,5.962303966613412e-05,0.00031708491,0.00037851054
PORT CHALMERS,35,0.00024491465714285716,0.0002405484,6.677754434252001e-05,0.00033881154000000007,0.00035682141
NELSON,78,0.0002446329423076923,0.00023304724999999998,5.977017063289022e-05,0.00031779723999999994,0.00037497979
NAPIER,74,0.00023984010810810814,0.00023684085,6.798060153296103e-05,0.00033960278,0.00037894492499999997
LYTTELTON,86,0.0002217571976744186,0.00022819315,6.48368822104064e-05,0.0002995368,0.000328927575
NEW PLYMOUTH,126,0.00020680831984126982,0.00020163199999999998,5.93423598083258e-05,0.00027582135,0.000292699025
TIMARU,39,0.0002040692435897436,0.0001848698,4.7724814766318005e-05,0.00025339668,0.00028740901000000004
