voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
1,Bulker,3,40259,6,TAURANGA,44.67631944,0.0003605735,0.9999933999999999,0.55765373,0.000124548
17,Reefer,1,14933,6,TAURANGA,58.97416667,0.0002429003,1.0,0.41437696200000007,0.00011193
20,Reefer,1,14933,7,TAURANGA,54.82541667,0.0002896067,1.0,0.39288941499999996,0.00011632166666666667
27,Reefer,1,12350,6,TAURANGA,29.08951389,0.0002515269,1.0,0.394028832,0.00012564
28,Reefer,1,12350,6,TAURANGA,49.30243056,0.0002255436,1.0,0.38103706,0.00011266600000000001
30,General Cargo,1,16950,5,TAURANGA,47.23440972,0.0002113051,1.0,0.41355833750000004,0.0001256075
32,Reefer,1,16950,5,NELSON,52.28487269,0.0002287906,1.0,0.43766468999999997,0.00013068999999999998
39,Reefer,1,12942,7,GISBORNE,42.89760417,0.0002362205,1.0,0.34228162,0.00011496999999999999
40,Reefer,1,12942,5,TAURANGA,46.47290509,0.0001925047,1.0,0.3763421025,0.0001256075
42,General Cargo,1,20202,6,TAURANGA,58.0180787,0.0002754653,1.0,0.478625408,0.000113774
44,General Cargo,1,16950,5,TAURANGA,57.25924769,0.0002330118,1.0,0.439162305,0.00013276
46,Reefer,1,10713,6,TAURANGA,56.39362269,0.0001974213,1.0,0.353532168,0.00011016400000000001
51,General Cargo,1,13958,7,NELSON,55.70155093,0.00024559,1.0,0.39370975,0.00010941666666666667
54,General Cargo,1,10603,6,NELSON,58.99376157,0.0001932681,1.0,0.363873734,0.000111524
57,Reefer,1,10621,5,TAURANGA,43.58908565,0.0002198342,1.0,0.4263328525,0.00012916000000000002
60,RoRo,0,22815,7,AUCKLAND,20.6037037,0.0004337544,0.9999768333333333,0.601392045,0.00011821333333333335
61,RoRo,0,22815,7,AUCKLAND,18.47052083,0.0004555225,0.9997418333333333,0.613757575,0.00012375333333333334
62,RoRo,0,22815,7,AUCKLAND,46.40021991,0.000416944,0.9999793333333332,0.5383757466666667,0.00012681833333333333
63,RoRo,0,22815,7,AUCKLAND,27.10013889,0.0004056805,0.9999941666666666,0.5414067850000001,0.00012116333333333334
64,RoRo,0,22815,6,AUCKLAND,32.96837963,0.0003925682,0.9999722,0.60352133,0.000128762
65,RoRo,4,22815,6,AUCKLAND,51.71189815,0.0003123374,0.9999752000000001,0.4721283479999999,0.00013244
67,RoRo,0,22815,7,AUCKLAND,23.04440972,0.0004427241,0.9999768333333333,0.59630849,0.00012375333333333334
70,General Cargo,4,7285,5,NAPIER,44.91195602,0.0001522491,1.0,0.324101005,0.0001089575
73,General Cargo,4,7285,6,TIMARU,52.34321759,0.0001831218,0.9999991999999999,0.31252409800000003,0.00011525999999999999
76,General Cargo,0,7285,7,NAPIER,44.1016088,0.0001964312,0.9999998333333333,0.2870564883333333,0.00010219666666666666
79,RoRo,1,21423,7,AUCKLAND,47.67078704,0.0003053452,1.0,0.4028988866666667,0.00011862833333333332
81,RoRo,1,21414,7,AUCKLAND,50.32267361,0.0004093646,0.9999851666666667,0.5111146383333334,0.00013075666666666666
83,Bulker,0,55777,7,TAURANGA,33.1665625,0.000341167,1.0,0.45679137833333333,0.00012155500000000001
85,Bulker,0,55777,7,LYTTELTON,32.45302083,0.0002679456,1.0,0.40991803333333326,0.00011333999999999998
91,Bulker,4,55531,7,TIMARU,47.0594213,0.0003920668,0.9999705,0.50022216,0.00011913833333333333
94,RoRo,0,22514,7,AUCKLAND,19.70775463,0.0004734555,0.9997418333333333,0.6166912866666666,0.00012929333333333334
95,RoRo,0,22514,7,AUCKLAND,21.65342593,0.0004243285,0.9999768333333333,0.5882364566666667,0.00011821333333333335
96,RoRo,0,22514,7,AUCKLAND,40.53422454,0.0003784187,0.9999623333333334,0.5728867833333334,0.00011296666666666668
97,RoRo,0,22514,7,AUCKLAND,23.02310185,0.0004523453,0.9999855000000001,0.5844085933333333,0.00012670333333333333
