nz_dest_port,obs_mean,obs_std,obs_n,syn_mean,syn_std,syn_n,delta_pct,ks_D,ks_p
AUCKLAND,0.0003094483706801471,7.94462742674036e-05,1088,0.0002835130445,7.357800441160668e-05,4600,-8.4,0.18,0.0
GISBORNE,0.00029834253472222223,5.7757764916550736e-05,72,0.0002703328942446043,7.173329989417781e-05,278,-9.4,0.18,0.0428
TAURANGA,0.0002738266096858639,6.717491497219934e-05,764,0.00027519618612508985,7.41822968721367e-05,2782,0.5,0.077,0.0015
WELLINGTON,0.0002510076757142857,5.962303966613412e-05,70,0.00024172573498233216,6.302505283334927e-05,283,-3.7,0.092,0.6863
PORT CHALMERS,0.00024491465714285716,6.677754434252001e-05,35,0.00024292026369047618,6.71387007714559e-05,168,-0.8,0.071,0.9958
NELSON,0.0002446329423076923,5.977017063289022e-05,78,0.00024318988178694158,6.789822371504568e-05,291,-0.6,0.105,0.4641
NAPIER,0.00023984010810810814,6.798060153296103e-05,74,0.00023622728769716087,6.778178644391912e-05,317,-1.5,0.064,0.9477
LYTTELTON,0.0002217571976744186,6.48368822104064e-05,86,0.00022460925307917886,6.360415161962419e-05,341,1.3,0.1,0.4604
NEW PLYMOUTH,0.00020680831984126982,5.93423598083258e-05,126,0.00023276692148148148,6.786843262900503e-05,540,12.6,0.207,0.0003
TIMARU,0.0002040692435897436,4.7724814766318005e-05,39,0.000207130211409396,6.249107752129934e-05,149,1.5,0.236,0.0521
