source,voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port,p_invasion
observed,1,Bulker,3,40259.0,6,TAURANGA,"[1.0, 1.0, 0.999999, 1.0, 0.999968]","[0.11172587, 0.30765094, 0.67073716, 0.79326476, 0.90488992]","[0.00011174, 0.00011553, 0.00013088, 0.00013088, 0.00013371]","[1.24837e-05, 3.55434e-05, 8.77852e-05, 0.0001038215, 0.0001209874]",0.0003605735
observed,17,Reefer,1,14933.0,6,TAURANGA,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.20697468, 0.27815255, 0.43028723, 0.50018113, 0.65628922]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.00013092]","[1.98506e-05, 2.66771e-05, 4.94054e-05, 6.10683e-05, 8.59211e-05]",0.0002429003
observed,20,Reefer,1,14933.0,7,TAURANGA,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17072822, 0.22122279, 0.36104198, 0.42738693, 0.54011139, 0.63684518]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.0001346, 0.0001346]","[1.63743e-05, 2.12171e-05, 4.14547e-05, 5.21807e-05, 7.26965e-05, 8.57164e-05]",0.0002896067
observed,27,Reefer,1,12350.0,6,TAURANGA,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.25250654, 0.30900817, 0.38100392, 0.47550847, 0.55211706]","[0.00011482, 0.00012209, 0.00012209, 0.0001346, 0.0001346]","[2.89927e-05, 3.77275e-05, 4.65177e-05, 6.40012e-05, 7.43124e-05]",0.0002515269
observed,28,Reefer,1,12350.0,6,TAURANGA,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.19937558, 0.25334353, 0.38832317, 0.453705, 0.61043802]","[9.591e-05, 9.591e-05, 0.00011482, 0.00012209, 0.0001346]","[1.91218e-05, 2.42978e-05, 4.45871e-05, 5.53939e-05, 8.21621e-05]",0.0002255436
observed,30,General Cargo,1,16950.0,5,TAURANGA,"[1.0, 1.0, 1.0, 1.0]","[0.25489502, 0.31172907, 0.43665366, 0.6509556]","[0.00011482, 0.00012209, 0.0001346, 0.00013092]","[2.92669e-05, 3.80597e-05, 5.87715e-05, 8.52228e-05]",0.0002113051
observed,32,Reefer,1,16950.0,5,NELSON,"[1.0, 1.0, 1.0, 1.0]","[0.24993323, 0.36351199, 0.44777409, 0.68943945]","[0.00013077, 0.00013061, 0.00013061, 0.00013077]","[3.2685e-05, 4.74787e-05, 5.84843e-05, 9.01613e-05]",0.0002287906
observed,39,Reefer,1,12942.0,7,GISBORNE,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.16218709, 0.20113817, 0.28155253, 0.37024671, 0.48519732, 0.5533679]","[0.00012123, 0.00011161, 0.00011161, 0.00011161, 0.00011688, 0.00011688]","[1.96618e-05, 2.24485e-05, 3.14233e-05, 4.13222e-05, 5.67097e-05, 6.46774e-05]",0.0002362205
observed,40,Reefer,1,12942.0,5,TAURANGA,"[1.0, 1.0, 1.0, 1.0]","[0.22408735, 0.26872811, 0.3850502, 0.62750275]","[0.00011482, 0.00012209, 0.0001346, 0.00013092]","[2.57296e-05, 3.28096e-05, 5.1826e-05, 8.21524e-05]",0.0001925047
observed,42,General Cargo,1,20202.0,6,TAURANGA,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.18174732, 0.30287846, 0.53373066, 0.64890525, 0.72586535]","[0.00012123, 9.591e-05, 0.00011482, 0.00011482, 0.00012209]","[2.20331e-05, 2.90486e-05, 6.12827e-05, 7.4507e-05, 8.86226e-05]",0.0002754653
