ports,transits_hours,dwells_hours,n_ports,vessel_type,dwt,cluster_k,nz_destination
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'HONG KONG', 'NELSON']","[0.0670576490688155, 17.955693042313165, 32.65702005218002, 41.83580589669765, 263.0397548801305]","[14.624231914877646, 15.11875792359659, 11.79677000677433, 22.21801892994278, 37.70108103496203]",5,Container,38004.0,0,NELSON
"['KINGSTON', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.556989352033598, 75.10319570277062, 8.196790298744265, 221.14604407501247, 124.75269352477788, 53.31430763814273, 154.35787621319542]","[22.029637945724804, 18.032857735896652, 14.570720358361854, 14.043143010318733, 36.727562395586574, 34.52958143472046, 33.77487382669033]",7,Container,21475.0,1,TAURANGA
"['SHENZHEN', 'HONG KONG', 'GUANGZHOU', 'LAE', 'HONIARA', 'NOUMEA', 'AUCKLAND']","[0.1531278945826935, 4.615462508771459, 21.402362491473518, 143.36385089222418, 73.73214118698645, 139.9179648016781, 133.44719692058305]","[21.179473175771495, 30.270278987429872, 21.826446738082407, 14.510776961317067, 17.309248932688657, 17.84980566116663, 56.68338653898999]",7,Container,51737.0,0,AUCKLAND
"['BUSAN NEW', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'TAURANGA']","[0.35568644381051895, 401.67426171193864, 65.0862055501171, 56.05576090500308, 304.0617099137667]","[20.73906179994692, 23.13929519242644, 21.44629848375491, 33.345784674272856, 23.107472940510622]",5,Container,17842.0,3,TAURANGA
"['SINGAPORE', 'KLANG', 'KUANTAN', 'BATU AMPAR', 'NEW PLYMOUTH']","[0.3048829525561516, 43.797025494730576, 38.23229529419096, 57.4860659119536, 330.7528819806555]","[46.808491998157706, 32.26203605997388, 48.94555509452436, 43.72230826627365, 33.4371886551557]",5,Tanker,49765.0,4,NEW PLYMOUTH
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TABOGUILLA', 'TAURANGA']","[0.305563616589023, 24.349977880464582, 135.74474367095596, 58.96658859092225, 78.53432371272801, 2.8198351552224974, 333.0481086477313]","[16.651450194428605, 17.22196820710699, 18.431188735382996, 17.211677952031835, 18.64864599770919, 30.14411083635317, 31.30956014843764]",7,Container,43177.0,1,TAURANGA
"['PAPEETE', 'NOUMEA', 'LAUTOKA', 'SUVA', 'AUCKLAND']","[0.1460023865281732, 124.75269352477788, 52.16308545902946, 18.93896723362816, 210.6038854118128]","[26.462264751949956, 26.99267631080417, 25.65851106956267, 26.599257174600286, 26.68305602738499]",5,Container,35225.0,1,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TABOGUILLA', 'TAURANGA']","[0.30125576226330986, 34.6895835760659, 101.59737526153792, 48.93436136784233, 78.53432371272801, 2.8198351552224974, 333.0481086477313]","[19.765414385529546, 17.368877823119142, 17.15150908007405, 15.722301119177605, 19.897433690273843, 25.19040522547651, 30.362640936262128]",7,Container,110387.0,1,TAURANGA
"['TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'NEWCASTLE', 'NAPIER']","[0.39722136322855484, 234.4389756860788, 132.25148931042028, 149.8248224192092, 91.89836957728338, 95.75362537478502]","[29.587821587729458, 25.480266511893234, 24.230535447846233, 27.518571832008373, 38.3006477541404, 51.95981013472619]",6,General Cargo,35212.0,1,NAPIER
"['YOKOHAMA', 'OSAKA', 'GAMCHEON', 'LAE', 'AUCKLAND']","[0.2920597077488569, 74.48755519676959, 79.51249288519982, 142.5823556747412, 120.81216294356373]","[24.873533462492592, 27.752881095695408, 23.77982151303747, 16.612281835809522, 20.035606077994625]",5,Container,24646.0,0,AUCKLAND
"['SAID', 'SUEZ CANAL', 'LAEM CHABANG', 'SINGAPORE', 'FREMANTLE', 'AUCKLAND']","[0.7091898280469302, 10.425881100515609, 289.8296729942512, 131.84110988542628, 172.97798696436718, 162.21267115579263]","[27.404591940050818, 29.39148873878223, 29.042731884473284, 15.383634084401336, 25.052310801533643, 40.632697567843856]",6,RoRo,43878.0,1,AUCKLAND
"['XIAMEN', 'KAOHSIUNG', 'INCHEON', 'RIZHAO', 'TIMARU']","[0.5950066580516367, 44.53749294783332, 64.5513765981436, 46.88241306242691, 387.8730788651552]","[46.99806595326965, 73.9649089284562, 50.54554679402812, 39.72564258026154, 79.50676447587811]",5,Bulker,34447.0,4,TIMARU
"['SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.2682328814452577, 74.96779637146477, 8.196790298744265, 221.14604407501247, 124.75269352477788, 53.07681696063249, 225.7034464662743]","[20.257865133090416, 16.809535075567652, 15.908626055082607, 15.137141054878995, 17.25793949586215, 41.520572499864414, 43.07358909838331]",7,Container,53176.0,1,TAURANGA
"['SHANGHAI', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'BRISBANE', 'AUCKLAND']","[0.5025203734348713, 54.62870792013032, 37.91240593308088, 22.20035790992614, 193.10200137685823, 68.44831070722472]","[18.098237679053643, 18.925553040496954, 12.408427963693624, 6.244038424879776, 23.167346285079457, 30.99627054780974]",6,RoRo,12988.0,0,AUCKLAND
"['AMAMAPARE', 'SURABAYA', 'GRESIK, JAVA', 'ONOMICHIITOZAKI', 'HÃ\x83Â¡Ã\x82Âº LONG', 'PORT CHALMERS']","[0.6762217841153897, 97.799451465376, 50.87702868918194, 197.9775069319488, 114.7950647224943, 392.04652310320654]","[31.51716525928493, 41.12337581803627, 27.201409846720523, 25.23341737157804, 27.83963144692278, 44.908916647673024]",6,Bulker,42446.0,3,PORT CHALMERS
"['SINGAPORE', 'KLANG', 'DAMPIER', 'SRIRACHA', 'NEW PRIOK', 'BRISBANE', 'WELLINGTON']","[0.2711796690363335, 29.645259859838195, 124.96394963801819, 162.27466162434564, 87.05246811127928, 217.02222483130862, 234.88192322516383]","[67.02769357472353, 52.486280469166935, 68.88903113649273, 52.25827802209382, 44.517082460729, 111.94003943639224, 95.53256974387739]",7,Bulker,61115.0,4,WELLINGTON
"['DALIAN', 'SHANGHAI', 'SUZHOU', 'GAMCHEON', 'LAE', 'NAPIER']","[0.3983277730188213, 31.002001894487442, 46.50060997874944, 52.328349852586676, 151.15287978633765, 144.80848003688692]","[28.07833675999118, 35.21824836450999, 32.95542612015964, 22.800206545809893, 21.73460025945282, 61.939890945399725]",6,General Cargo,5250.0,0,NAPIER
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'HONG KONG', 'AUCKLAND']","[0.1549536673687424, 88.74294505232149, 71.314002182029, 44.35052646972319, 278.181163277563]","[19.283271928841444, 34.272025565687166, 16.21461734444887, 24.145578074649272, 28.468170370441896]",5,General Cargo,24964.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","[0.25980265698957483, 262.1869364688899, 124.75269352477788, 61.62834551780714, 49.38645685243112, 33.3803243124376, 99.57429729892635]","[24.657810510461353, 27.70330413064939, 16.73765009211158, 31.24357403157847, 20.252606020706097, 30.4987017239583, 38.09868469440548]",7,Container,34960.0,1,TAURANGA
"['KEMBLA', 'SHANGHAI', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.804536472342336, 228.1581180096694, 41.363083562170324, 17.32766788902271, 20.454882968214743, 201.3675844255569, 117.89576619864812]","[17.278222406755, 21.02533564741876, 13.745217080701076, 14.082668705790498, 12.402008634650738, 19.27781702491695, 30.654498402545954]",7,RoRo,18556.0,0,AUCKLAND
"['SINGAPORE', 'HO CHI MINH', 'ONSAN', 'TOWNSVILLE', 'TAURANGA']","[0.2616013786217788, 46.792123546017216, 132.95769331555982, 255.866472210726, 133.9597452622819]","[19.345797795779394, 27.99485819271561, 29.662958379661287, 40.15828921177551, 50.3299376758088]",5,Tanker,19980.0,0,TAURANGA
"['YOKKAICHI', 'YOKOHAMA', 'SAIPAN', 'BRISBANE', 'KEMBLA', 'MELBOURNE', 'AUCKLAND']","[0.4302138450125732, 14.581166688438309, 119.63436124087409, 190.43505422280677, 61.21431614056132, 92.27075570997413, 121.9870063960276]","[41.60300060077456, 18.2347314100788, 9.52399933893365, 26.653047903354533, 37.029232695269975, 39.43675720548468, 42.81043745989076]",7,RoRo,22514.0,0,AUCKLAND
"['FANGCHENGGANG', 'TOWNSVILLE', 'BRISBANE', 'KEMBLA', 'AUCKLAND']","[0.25479479069257094, 242.13332708191734, 105.48021021732973, 83.77939346828775, 83.73422216875129]","[65.22840151383551, 61.01909279568421, 61.31371954370564, 65.45013003804095, 68.25071184872498]",5,Bulker,33443.0,4,AUCKLAND
"['KEMBLA', 'MELBOURNE', 'BRISBANE', 'BOTANY', 'AUCKLAND']","[0.4378811543498342, 70.12577433958035, 112.08583616245696, 58.45517453976911, 66.0734145098827]","[34.7546088548709, 16.33891427169543, 18.844172007337562, 25.054347901234078, 24.458329234389474]",5,Reefer,12354.0,0,AUCKLAND
